Item,Item_ID,raw_material,Quantity,In_date,Out_date
tub,T101,sheet steel,10 sqft,14/02/2020,21/02/2020
pump,T102,plastics,10 kg,16/02/2020,20/02/2020
spin tub,T103,steel (enameling iron) Porcelain coating,5 kg/m3,27/02/2020,5/3/2020
wash tub,T104,(enameling iron) Porcelain coating,24 gauge,27/02/2020,3/2/2020
balance ring,T105,porcelain enamel,3 kg ,16/03/2020,21/03/2020
transmission gears,T107,cast aluminum,ingots?20,26/03/2020,9/4/2020
plastic brackets,T108, plastic,2 kg,8/4/2020,12/4/2020
tub,T109,sheet steel,10 sqft,14/02/2020,21/02/2020
pump,T110,plastics,10 kg,16/02/2020,20/02/2020
spin tub,T111,steel (enameling iron) Porcelain coating,5 kg/m3,27/02/2020,5/3/2020
wash tub,T112,(enameling iron) Porcelain coating,24 gauge,27/02/2020,3/2/2020
balance ring,T113,porcelain enamel,2 kg/m3 ,16/03/2020,21/03/2020
transmission gears,T115,cast aluminum,ingots?20,26/03/2020,9/4/2020
plastic brackets,T116, plastic, 2 kg,8/4/2020,12/4/2020
tub,T124,sheet steel,10 sqft,14/02/2020,21/02/2020
pump,T117,plastics,10 kg,16/02/2020,20/02/2020
spin tub,T118,steel (enameling iron) Porcelain coating,5 kg/m3,27/02/2020,5/3/2020
wash tub,T119,(enameling iron) Porcelain coating,24 gauge,27/02/2020,3/2/2020
balance ring,T120,porcelain enamel,8 gauge,16/03/2020,21/03/2020
transmission gears,T122,cast aluminum,ingots?20,26/03/2020,9/4/2020
plastic brackets,T123, plastic,3 kg,8/4/2020,12/4/2020
tub,T124,sheet steel,10 sqft,14/02/2020,12/3/2020
spin tub,T125,steel (enameling iron) Porcelain coating,5 kg/m3,27/02/2020,5/3/2020
wash tub,T126,(enameling iron) Porcelain coating,24 gauge,27/02/2020,3/2/2020
balance ring,T127,porcelain enamel,8 gauge,16/03/2020,21/03/2020
transmission gears,T128,cast aluminum,ingots?20,26/03/2020,9/4/2020
plastic brackets,T129, plastic,3 kg,8/4/2020,12/4/2020
tub,T130,sheet steel,10 sqft,14/02/2020,12/3/2020
